Query,Job Title,IT Skills,Soft Skills,Salary,Location,Education,Experience,Description,Seniority,job_id
IT Management,E-Marketing Manager,"Advertising, Digital Marketing, Digital Media, Digital Strategy, E-commerce, Email Marketing, Google Analytics, Integrated Marketing, Marketing, Marketing Communications, Marketing Strategy, Mobile Marketing, Online Advertising, Online Marketing, PPC, SEM, SEO, Social Media, Social Media Marketing, Web Analytics",,"$2,500to$4,900Monthly","CHERRYLOFT RESORTS, 159 JALAN LOYANG BESAR 509404",,1 year  exp,optimise leverage seo sem mechanisms drive online traffic company brand website social media pages manage improve company online presence enhancing usability design content develop execute online marketing plan create benchmarks leverage online technologies e commerce platforms secure sales leads analyse key metrics generate timely reports proposals management requirements degree diploma related field hardworking independent individual attitude creative person eye design excellent copywriting skills,"Senior Management, Manager, Senior Executive",JOB-2019-0118585
Other IT Roles,People & Culture Associate,"Benefits Negotiation, Employee Engagement, Employee Relations, HR Consulting, HR Policies, HRIS, Human Resources, Interviews, Management, Performance Appraisal, Performance Management, Personnel Management, Recruiting, Recruitments, Screening, Sourcing, Talent Acquisition, Talent Management, Technical Recruiting, Training",,"$2,800to$3,800Monthly","HENDERSON BUILDING, 221 HENDERSON ROAD 159557",,not_available,company life asia first successful digital telco mission imagine mobile experience digital consumer disrupt multi trillion dollar industry launched services 2016 rapidly gaining market share delivering best class customer experience leading market innovation customer satisfaction growth role opening people culture associate wants gain valuable experience exposure rapidly scaling startup singapore want get first hand insights rapidly scaling tech startup operates enjoy working within entrepreneurial environment personal freedom act part fun energetic team running full speed digital disruption telecommunications answer yes read find role life responsibilities part people culture team given unique opportunity work closely head people talent culture life drive high priority recruiting initiatives shape growth organisation highly cross functional role involve close collaboration across different business units bring initiatives work various stakeholders people culture team drive number high projects initiatives take end end ownership strategic projects across number areas recruitment employment branding interview process streamlining employee engagement initiatives ideation implementation play integral role informing making key decisions requirementsrequirements strong academic record reputable educational institution passionate technology disruptive models organisational culture talent management team player able work environment high inter dependencies teams cross cultural colleagues start experience exposure hr recruiting preferred,Fresh/entry level,JOB-2019-0119088
Software Development,Engineering Head,"ASIC, Business Development, Business Strategy, Continuous Improvement, Cross-functional Team Leadership, Engineering, Engineering Management, IC, Lean Manufacturing, Manufacturing, New Business Development, Product Development, Product Engineering, Product Management, Program Management, Project Management, Semiconductors, Software Engineering, Strategic Planning, Testing",,"$120,000to$150,000Annually","APERIA, 8 KALLANG AVENUE 339509",,10 years  exp,looking experienced hands product engineering head semantic graph enabled artificial intelligence product able architect develop modules scalable secured reliable work talented application front end developers achieve development goals aligned business needs responsibilities design system architecture variable rapid deployment validate system architecture line business provide technical leadership research maintaining upgrading product plan review budgetary effort estimates team members oversee development efforts validate implementation quality report regularly stakeholders create product performance reports improvement plans requirementsrequirements least 3 years relevant 8 years overall experience ideally software product development environment ms bs computer science engineering equivalent must strong object oriented programming concepts best practices software development coding standards able develop improve upon technical system architecture experience technical lead along team management strong understanding machine learning concepts experience directing multiple product experience designing implementing platform software cloud metal installations able identify plan devops strategy product including experience release management,Senior Management,JOB-2019-0117339
Software Development,"Senior Technical Lead, (IT & System Operations)",".NET, Agile, Agile Methodologies, C#, Databases, Enterprise Architecture, Integration, Java, Microsoft SQL Server, Oracle, PL/SQL, Requirements Analysis, Scrum, SDLC, SOA, Software Development, Software Project Management, SQL, Web Services, XML",,"$4,000to$6,000Monthly",461 CLEMENTI ROAD 599491,,10 years  exp,reporting manager application services information technology systems operations division role responsible accountable technical design development delivery solutions new enhancements existing applications major duties responsibilities one modules project development mentor junior team members assistance pm architect flexible working changing different work settings maintain high team morale adhere company project standards guidelines accurate time accounting reporting work promptly escalate issues affect product delivery quality beyond scope influence report reporting manager pay high attention detail work quality time delivery agreed deliverables manage internal project stakeholders commitment expectations provide hands guidance team technical solutions contribute company knowledge base process improvements good knowledge design patterns sound industry trends awareness general assist annual internal external audit exercises maintain data integrity confidentiality regards information processed stored render administration support departmental operations perform function necessary assigned education training experience degree business information system equivalent personal attributes least 10 years working experience 3 5 years senior developer development lead least 2 years supervisory role proven track record large scale project implementation experience preferred practical experience software development life cycle sdlc process good leader hands leads example instill performance excellence amongst team members team player good interpersonal communication presentation skills positive attitude resourceful able work people passion technology innovation proven ability provide technical solution complex business problems sound knowledge unit testing methodologies frameworks sound knowledge estimation techniques technical attributes hands experience c net web services c net vb net vb 6 0 c java javascript html xml concepts sound proficiency microsoft net java technologies experience cx projects e commerce platform development preferred working knowledge low code development platforms advantage working knowledge server administration infrastructure advantage,"Manager, Senior Executive",JOB-2019-0118265
Data Engineering,ETL Big Data Developer,".NET, Agile Methodologies, C#, C++, Databases, Integration, Java, JavaScript, Linux, Microsoft SQL Server, Requirements Analysis, Scrum, SDLC, Software Development, Software Engineering, Software Project Management, SQL, Web Applications, Web Services, XML",,"$5,000to$10,000Monthly",not_available,,3 years  exp,excellent opportunity experienced etl big data developers join large fintech business singapore 's cbd role start 6 months contract return offer inclusive high performing team progressive role part etl data team focuses big data application design key responsibilities design prototyping delivery etl processes within big data eco system build etl extract data hadoop hive relational database source create maintain necessary documentation mapping artefacts etl create execute test plans perform code review handle call responsibilities work towards greater efficiency robustness etl process support big volume data requirementsrequirements bachelor 's degree 4 years overall software engineering experience 3 years experience developing etl workflows big data environments 1 years hands experience hadoop hive spark related technologies experience manipulating transforming data experience data quality performance optimization looking next big data etl development career could reach 65 discuss interested parties please click apply contact ea reg 65 information group pte ltd ea licence reference number contact details,Professional,JOB-2019-0118913
IT Sales & Business Development,Senior Technical Account Manager,"Agile Methodologies, Change Management, Cloud Computing, Cross-functional Team Leadership, Engineering, Integration, Leadership, Management, Manufacturing, Process Improvement, Product Development, Product Management, Program Management, Project Management, Project Planning, Software Development, Software Project Management, Strategic Planning, Strategy, Telecommunications",,"$5,000to$8,000Monthly","UBI TECHPARK, 10 UBI CRESCENT 408564",,4 years  exp,perform technical support apac clients following fields management technical issues regards campaign launching running process supervision creation advertising materials dynamic ad banners technical integration internal campaign system house client e commerce platform technical support new existing clients phone e mail regarding technical aspects campaigns work closely account managers deliver high standards customer service monitor analyze effectiveness campaigns propose optimization solutions online programs requirementsrequirements good knowledge html css javascript good knowledge csv xml experience debugging tools e g web browser minimum 1 year experience technical team management fluency written spoken english interest online technology e commerce digital advertising proven ability link business technology experience using google analytics advantage strong analytical skills good time management skills attention detail ability solve problems efficiently high level motivation willingness learn,Manager,JOB-2019-0110459
Business Analysis,Business Analyst,"Analysis, Business Analysis, Business Intelligence, Business Process, Business Process Improvement, Business Strategy, Change Management, Data Analysis, Leadership, Management, Management Consulting, Microsoft Office, Process Improvement, Program Management, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SQL, Strategy",,"$4,000to$6,500Monthly","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",,3 years  exp,12 months renewable contract years hands experience business unit manager chief staff similar role technology team bachelor 's degree finance preferred proactive go getter exceptional oral written communication skills highly organized ability influence foster cooperation peers team player intermediate skills microsoft office,Middle Management,JOB-2019-0110315
IT Support & Helpdesk,IT Support Engineer,"Active Directory, Data Center, Integration, ITIL, Java, Linux, Microsoft SQL Server, MySQL, Networking, PHP, Project Management, Servers, Software Development, SQL, System Administration, Telecommunications, Troubleshooting, Virtualization, VMware, Windows Server",,"$4,000to$6,000Monthly",31 CANTONMENT ROAD 089747,,3 years  exp,looking sap support professional assist sg projects regular sap enhancement review analyze evaluate factory systems user needs support definition scope documenting requirements preparing small preparation quotation costing project analyze evaluate factory systems user needs support definition scope documenting requirements preparing small preparation quotation costing project work coordinate functions businesses define business scenarios supporting phases user testing including support master data set good knowledge manufacturing environment identify diagnose issues needs escalating respective parties resolve issues follows appropriate project governance manage vendor external resources liaise workstreams ensuring deliverables activities ops accountable completed time good quality controls hand responsibility implemented solution bau local services position closely interact business regional teams support quarterly sap change release uat regression testing experience sap pp mm wm sd fico preferred travelling required,"Senior Management, Junior Executive",JOB-2019-0110082
Data Analytics & BI,Data Analyst,"Agile Methodologies, Algorithms, Artificial Intelligence, C, C++, Cloud Computing, Computer Science, Distributed Systems, High Performance Computing, Java, Linux, Machine Learning, MPI, Parallel Computing, Parallel Programming, Programming, Python, Scientific Computing, Software Development, Software Engineering",,"$5,000to$8,000Monthly","MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",,not_available,government digital services gds team aims spearhead digital transformation government team aims design develop software applications help government agencies better serve needs people singapore looking data analyst passionate using data contribute production grade products result streamlining customer service journey delivery process thereby public scoping project stakeholders using data sets currently available team across government agencies build useful data products consumed expect collaborate stakeholders understand needs pain points design solutions used streamlining operations develop solutions citizens build manage entire end end lifecycle including scoping data inputs data cleaning pre processing feature engineering building models deploying production improving models iterations contribute data architecture engineering decisions support analytics analyse website mobile application data suggest actionable insights improvements succeed strong understanding key concepts techniques considerations machine learning data analytics experience feature selection extraction variety data types experience analysing web mobile application data experience cloud deployments using aws added advantage good communication skills articulate findings recommendations passionate know predictive modelling algorithms systems available,Middle Management,JOB-2019-0104751
IT Support & Helpdesk,Field Technical Support Engineer,"Cloud Computing, HTML, Integration, Linux, Management, Microsoft Office, Microsoft SQL Server, Networking, Project Management, Software Development, SQL, TCP/IP, Technical Support, Telecommunications, Testing, Troubleshooting, Unix, Virtualization, Windows, Windows Server",,"$2,300to$2,600Monthly","GUOCO TOWER, 1 WALLICH STREET 078881",,1 year  exp,support onsite engineer functions h w w troubleshoot service request coordinate support teams providing information statistics graph logs incident investigation resolution adhere standard operating procedures ensure timely escalation major critical incidents responsibilities timely reporting services outages batch failures support coordinate support teams incident problem investigation resolution ensure daily periodic statistics reports timely submitted requirements least 2 years experience end user support good support knowledge microsoft operation system basic knowledge infrastructure h w w network vpn server etc interested candidates click apply information regret inform shortlisted candidates notified respect privacy communication treated confidentiality wish know position explore roles please prepare updated profile get touch consultants please note response advertisement communications us pursuant advertisement constitute informed consent collection use disclosure personal data manpower purpose carrying business compliance relevant provisions personal data protection act 2012,Junior Executive,JOB-2019-0104836
Project & Program Management,Project Manager,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$5,500to$10,000Monthly","EON SHENTON, 70 SHENTON WAY 079118",,3 years  exp,company fintech startup specialises providing advisory solutions banks insurance companies non financial industries like e commerce leveraging deep learning technologies believe change way people save invest manage wealth fast growing startup based singapore hong kong founded 2016 raised funding likes achieved global network prospects established clients like standard chartered thomson reuters launched singapore first advisory platform capital global wealth management firm attained multiple accolades best early stage startup fintech best show award 2017 innovative machine learning people like also alumni 2 0 accelerator program top 24 organised entrepreneurs fund job descriptions thrive planning overseeing delivering clients projects enjoy coordinating project teams looking join young dynamic work environment yes questions interested talking successful candidate charge developing project scopes objectives involving relevant stakeholders developing detailed project plan track progress coordinating internal resources business analysts web designers developers execution projects ensure projects delivered time within scope manage relationship client stakeholders requirements high level understanding software development web technologies least 2 years experience successfully delivering technology related projects cross functional coordination organisational skills excellent verbal written interpersonal communication,Executive,JOB-2019-0104514
Software Development,Senior Software Developer-Dotnet Developer,".NET, Agile Methodologies, AJAX, ASP.NET, C#, C++, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, Scrum, Software Development, SQL, Subversion, Web Applications, Web Services, XML",,"$9,000to$10,000Monthly","TRADEHUB 21, 18 BOON LAY WAY 609966",,6 years  exp,participate development enhancements testing implementation application participate design reviews provide input functional requirements product designs schedules potential problems work minimal guidance implement new functionality automated tests code respond solve defects timely manner consistent business needs requirements minimum 6 12 years experience design development large scale information products services utilizing following technologies net c asp net mvc web apis net entity framework javascript jquery windows communication foundation web services microsoft sql server 2008 2012 strong experience object oriented design development c java must good understanding database fundamentals sql required past experience developing web windows services configuring iis writing deployment scripts required analytical skills debugging problems within complicated web environment experience web services especially restful apis,Senior Executive,JOB-2019-0117777
Business Analysis,IT ANALYST,".NET, Agile Methodologies, ASP.NET, Business Analysis, Business Intelligence, C#, Databases, HTML, Integration, Java, JavaScript, Microsoft SQL Server, Oracle, Project Management, Requirements Analysis, SDLC, Software Development, SQL, Web Services, XML",,"$4,500to$5,000Monthly","TEXTILE CENTRE, 200 JALAN SULTAN 199018",,5 years  exp,candidate must 8 years working experience library industry knowledge web technologies candidate must 5 years experience programming language asp net c net candidate shall least two 2 years experience development incident support preferably relate library systems candidate shall least two 2 years working experience complete systems development life cycle sdlc including implementation deployment maintenance system candidate shall least two 2 years working experience microsoft sql server proficient writing optimized sql queries stored procedures candidate shall least two 2 years hands experience designing developing maintaining web applications using javascript asp net c net candidate shall least two 2 years working experience development integration candidate shall least two 2 years working experience web services troubleshooting candidate preferably two 2 years experience web services development candidate preferably excellence oral written communication skills including experience writing maintaining documentation candidate preferably strong analytical organization skills ability share responsibility hour response duty assignments candidate preferably working experience liaison project teams end users gather user requirements communicate proposed solution conduct user acceptance testing end user training trouble resolution helpdesk agents external vendors requirementsthe minimum educational qualification candidate shall degree computer science library science equivalent related discipline,Senior Executive,JOB-2019-0117421
IT Consulting,Technical Specialist - Platform Administrator,"Active Directory, Apache, Data Center, Disaster Recovery, DNS, Linux, Microsoft Exchange, MySQL, Network Administration, Networking, Operating Systems, Security, Servers, System Administration, Troubleshooting, Unix, Virtualization, VMware, Windows, Windows Server",,"$9,000to$11,000Monthly","AXA TOWER, 8 SHENTON WAY 068811",,8 years  exp,provide technical support wintel based servers citrix environment hosted within bank completion certain processes global group described key responsibilities administration provide quick resolution time application infrastructure issues involving physical virtual server hardware responding tickets remedy system urgent communication provide 1st 2nd level technical support maintenance wintel servers includes resolving fault conditions maintaining server application health maintaining full compliance banking industry use group corporate server build deploying servers verification current virus definitions timely installation security vulnerability patch updates directed group technology fix compliance gap reported incident change management resolve incident tickets assigned team verification current virus definitions timely installation security vulnerability patch updates directed group technology fix compliance gap reported willing provide support non business hours disaster recovery participate bi annual dr ensure high availability dr scenario requirementstechnical must depth knowledge windows server 2012 r2 windows 2016 r2 standard enterprise microsoft active directory microsoft windows clustering citrix 6 x depth knowledge client server technologies extensive exposure business service financial environments virtualization technical skills understanding basic scripting skills including powershell strong achieve business objectives clear understanding security policies financial environment technical nice citrix certification microsoft mcsa mcse 2012 2016 itil foundation v3 non technical must experience prioritizing managing project implementation day day bau responsibilities must able prioritise task identify project risks strong interpersonal skills service management skills techniques ability work effectively part global team competing tasks within deadline strong troubleshooting problem assessment skills must flexible terms tasks must able work part team able demonstrate technical skills resolving technical issues without support,Professional,JOB-2019-0117460
Other IT Roles,Assistant Vice President - Head of Applications,"Banking, Business Analysis, Business Development, Capital Markets, Credit, Equities, Finance, Financial Analysis, Investment Banking, Investments, Leadership, Loans, Management, Portfolio Management, Program Management, Project Management, Risk Management, Strategic Planning, Strategy, Vendor Management",,Salary undisclosed,not_available,,7 years  exp,head applications senior leadership role reporting global cio cto asia executive management role oversees enterprise application platforms delivers technology projects meet business objectives leveraging vendor teams direct staff role responsible creation maintenance management technology roadmap aligned business needs reflects best practices increases option value organization role ensures respective business application data technology perspectives line organization technology governance strategies policies standards role expected provide technology thought leadership addressing complex project issues facilitating alignment across disparate teams role ensures enterprise architecture models associated design components maintained ensures overall architecture maintained coherent manner appropriate considerations made security quality role champion chef collaboration framework organization ensure application consistent adoption projects primary responsibilities position manage portfolio applications within organization work departments business leaders define strategic tactical needs technology enabled business processes develop enhance technology roadmap organization provide leadership guidance aspects application deployment projects including limited business process optimization requirements analysis design configuration development conversions system testing cut production support provide guidance product component vendor selection appropriate specific projects maintenance support continued enhancement applications within organization champion lead efforts deploy use chef collaboration framework significant technology deployment projects organization develop maintain relationships vendor partners provide support outsourced applications define enterprise architecture strategies principles vision standards tools methodologies understand current enterprise application integration capabilities including use services based frameworks data integration technologies strive continuous improvement must able lead team technical architects leads guide efficiently deploy necessary software assets company understand concepts data architecture including creating updating data models key business entities documenting reference master data requirements providing guidance data quality respect accuracy currency usage provide recommendations related data security retention requirements must least undergraduate degree computer science related field graduate school experience computer science mis plus must least 7 years experience senior leadership role overseeing enterprise applications must least 7 years software engineering architecture experience experience applications real estate financial accounting systems mri sap etc domains big plus ability initiate direct collaborative efforts multiple teams including portfolio company shared services advisory team third party vendors groups appropriate aim program goals comprehensive knowledge systems design development process including requirements analysis feasibility studies software design programming pilot testing installation evaluation operational management knowledge information technology infrastructure networking cloud technologies ability understand manage entire spectrum information technology operations experience implementation information technology migrations integrations creative thinking problem solving decision making proactive self starter strong communication interpersonal skills work within team environment excellent organizational troubleshooting skills attention detail strong presentation documentation skills experience working asean oceania regions plus knowledge chinese japanese plus,Manager,JOB-2019-0118217
Software Development,Frontend Developer,"AJAX, C#, CSS, Git, HTML, HTML 5, Java, JavaScript, jQuery, JSON, Linux, MySQL, Photoshop, PHP, Software Development, SQL, Web Applications, Web Development, WordPress, XML",,"$7,000to$10,000Monthly",6 BATTERY ROAD 049909,,7 years  exp,frontend developers focused delivery solutions requirements related integrations solutions development customer facing front end solutions key objectives developers implement functionalities work products automate continuous integration implement test functionalities per product requirements integrate functionalities teams release integrated product hands development highly scalable enterprise products role includes strictly limited following activities disciplines experience following tasks design develop responsive web applications customer facing build angular html technologies ensure technical feasibility ui ux designs user inputs validated backend developers investigate recommend new emerging tools technologies assist teams achieving outcomes support implemented solutions conducting root cause analysis issues corrective actions tasks together scrum team optimise work developers front end frameworks work solution architect development lead finalize technical architecture product work scrum team finalize database design relationship tables implement scalable functionalities agreed po development lead,Professional,JOB-2019-0117960
IT Consulting,HRIS  / Functional Consultant,"ABAP, Business Analysis, Business Intelligence, Business Process, Data Migration, ECC, ERP, IDOC, Integration, Materials Management, Requirements Analysis, SAP, SAP BW, SAP ERP, SAP FI, SAP Implementation, SAP MM, SAP Netweaver, SAP R/3, SD",,"$4,000to$6,000Monthly",not_available,,5 years  exp,incumbent supports hcm business revenue goals providing high quality hr system hr process consulting services essential hris consulting team possess breadth depth knowledge human capital management domain job description conduct hris module design workshops ensure alignment business requirements including process analysis design design organization structure definition analyse customer requirements propose best possible solution mapping possible product features perform system configuration user training help presales team deep dive solution demos work project manager solution teams achieve time budget projects requirements worked functional consultant implementing hr systems oracle etc min 2 6 years hris implementation consulting experience bachelors masters degree equivalent fluent written spoken english language skills strong desire make career hr advisory hr cloud software implementation projects,"Manager, Senior Executive",JOB-2019-0105148
Business Analysis,Assistant Lead Analyst,"Analysis, Biotechnology, Business Analysis, Customer Service, EHR, EMR, Healthcare, Healthcare Information Technology, Hospitals, Integration, Lifesciences, Management, Medical Devices, Microsoft Office, Molecular Biology, Process Improvement, Project Management, Software Documentation, Training, Troubleshooting",,"$4,500to$7,650Monthly",6 SERANGOON NORTH AVENUE 5 554910,,10 years  exp,position summary building strong rapport business users involved conducting requirements analysis system implementation training providing going application support appreciation understanding hospital processes key success role critical resource address system downtime providing 24 7 non shift schedule application support users responsibilities provide going application support involved various stages sdlc conduct user requirement analysis development implementation new systems enhancements existing systems evaluate potential solutions make recommendations resolve business problems involvement system integration testing phase prior implementation plan coordinate end user training system implementations enhancements liaise closely business users build good rapport liaise closely vendors project implementation application testing supporting application patches upgrades accordance project methodologies policies support team defining project requirements tracking documentation provide 24 7 primary application maintenance standby support provide guidance coaching junior team members requirementsrequirements diploma degree computer science computer engineering equivalent minimum 8 10 years experience developing implementing maintaining systems successful track record project management user vendor management project lead small mid scale projects experience ms windows environment application support strong analytical skills ability work independently experience healthcare industry added advantage,Middle Management,JOB-2019-0104659
IT Sales & Business Development,New Business & Customer Success Finance Manager,"Accounting, Analysis, Auditing, Budgets, Business Planning, Business Strategy, Finance, Financial Accounting, Financial Analysis, Financial Modeling, Financial Reporting, Forecasting, Internal Controls, Leadership, Management, Managerial Finance, Process Improvement, Strategic Financial Planning, Strategic Planning, Strategy",,"$125,000to$140,000Annually",not_available,,10 years  exp,global sales marketing operations finance driving shareholder value subsidiaries sales locations carry local accountability financials well statutory compliance matters across microsoft commercial segments products land company vision around transformation business customer orientation subsidiaries externally drive strategic resource allocation investments local insights ensuring optimal returns aligned worldwide strategy key focus new business consumption industry workload perspective build trust lay foundation long term growth customer shareholder point view compliant way empower inspire people lead part high performing impactful teams providing diverse career opportunities hiring position new business customer success nb cs finance manager apac hub singapore malaysia indonesia exciting role main purpose drive cloud revenue growth solutions deployment insights solid planning robust execution responsibilities new business customer success nb cs finance manager key finance partner leads singapore malaysia indonesia subsidiaries leads chief growth officers country nb cs finance manager expected work identify execute growth prospects across 3 countries combined represent cloud software market opportunity usd 5 billion per nb cs finance manager role highly analytical strategic looking data industry product workloads customers trends share wallet accurately determine next growth coming addition nb cs finance manager required work long range growth plans well specific strategic initiatives may require financial modelling support equally important nb cs finance manager expected work business land monitor deployment growth initiatives nb cs finance manager also tasked advise customer success unit level quality usage solutions sold customers microsoft responsibility help customers take full advantage value solutions us addition nb cs finance manager seen cloud finance specialist hub key finance liaison area headquarters everything cloud related charge collaborating multiple stakeholders determine yearly outlook azure consumed revenue 3 subsidiaries requirementsqualifications new role microsoft finance organization offers fantastic platform individuals entrepreneurial attitude capable deal high levels ambiguity relevant required qualifications 10 years experience finance positions strong analytical skills business acumen degree commerce finance business engineering mba degree experience outside finance proven collaboration teaming solid communication influencing skills fluency english tech industry experience desired required role performed offices singapore malaysia jakarta indonesia microsoft equal opportunity employer qualified applicants receive consideration employment without regard age color family medical care leave gender identity expression genetic information marital status medical condition national origin physical mental disability political protected veteran status race religion sex including pregnancy sexual orientation protected applicable laws regulations benefits perks listed may vary depending nature employment microsoft country work,Non-executive,JOB-2019-0104420
Project & Program Management,Project Manager - MyINSEAD & Study@INSEAD,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$7,000to$8,000Monthly",1 AYER RAJAH AVENUE 138676,,5 years  exp,one world leading largest graduate business schools brings together people cultures ideas change lives transform organisations global perspective cultural diversity reflected aspects research teaching europe france asia singapore middle east business education research spans three continents project manager responsible gather document clearly business requirements prepare documents necessary co ordinate business stakeholders conduct uat oversee deployments provide support post deployment responsible research clarify business needs monitor digital projects go beyond scope implementation often across several departments role combines technical expertise understanding business processes define monitor drive development adoption applications part digital roadmap defined executive committee aim create user centric digital products terms usability functionality innovation generate enthusiastic user adoption engagement within outside responsible pro actively gathers business requirements works closely manager learning technology alumni systems prioritise internal development necessary resources people monitors progress projects way user adoption responsible receives direction resources support plans unit addition key contacts assigned business area accountabilities work multi cultural environment across 3 relevant stakeholders across multiple layers hierarchy manage definition multiple concurrent projects portfolio 2 4 applications autonomously link strategies school business unit together definition projects add value application development function facilitating communication across various business units enhance user experience processes extensive knowledge technology internal business processes pragmatic business requirement gathering ability optimise multiple requirements ability adopt technology excellent user experience represent business sponsor stakeholder within department applicable understanding end user needs required experience strong project product management experience relevant pmp qualifications experienced working long term projects e 2 years ideally experienced agile scrum methodologies clear concise communicator experience liaising business seamlessly,Executive,JOB-2019-0105006
Cybersecurity,Information Security Consultant,"Application Security, Business Continuity, CISA, CISSP, Computer Security, Disaster Recovery, Firewalls, Identity Management, Information Security, Information Security Management, Network Security, PCI DSS, Penetration Testing, Risk Assessment, Risk Management, Security, Security Architecture Design, Security Audits, Vulnerability Assessment, Vulnerability Management",,"$6,500to$8,000Monthly",239 ALEXANDRA ROAD 159930,,3 years  exp,conduct tests networks applications penetration testers perform security tests networks web based applications computer systems design tests tools try break security protected applications networks probe vulnerabilities testers keep latest methods ethical testing always evaluating new penetration testing tools physical security assessments testers conduct physical assessments servers systems network device security look ways exploit vulnerabilities design solutions security issues like temperature natural conduct security audits penetration testers use testing methods ways could exploit weaknesses security systems one way conducting network system security audits evaluate well organization system conforms set established criteria analyze security policies organizations enforce security policies identify procedures rules accessing using resources penetration testers analyze policies effectiveness make suggestions security policy improvements work enhance methodology material write security assessment reports conducting thorough research testing penetration testers document findings write security reports discuss solutions teams management also provide feedback verification security fixes issued requirements advanced computer skills computer information security scripting programming skills strong report writing skills write reports assessments communicate potential weaknesses team management good problem solving skills protect networks data potential serious risks determine effective way correct issues arise data analytics review data analyze processes needed correct security issues,Senior Executive,JOB-2019-0104464
IT Support & Helpdesk,Business Analyst - Loan IQ IT Support,"Analysis, Business Analysis, Business Intelligence, Business Process, Business Process Improvement, Change Management, Integration, Management, Microsoft SQL Server, Process Improvement, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SharePoint, Software Documentation, Software Project Management, SQL, Testing, Visio",,Salary undisclosed,"UIC BUILDING, 5 SHENTON WAY 068808",,5 years  exp,part financing team covering financing trade finance activities across asia business analyst would specifically charge loan iq support including loan iq core functions interfaces systems summit essence trade innovation etc main functions following 1 analyze defects observed loan iq reported back office middle office 2 ensure corrections developed fully line requirements 3 functional needs identification diagnostic business need collections requirements consolidation 4 deliver general detailed specifications new functional need 5 organization sit test user acceptance tests 6 provide required support mo bo users terms training documentation 7 provide required support teams charge level 1 level 2 8 ensure change management performed properly requirementsthe candidate 5 7 years ' experience following technical general skills 1 strong expertise loan iq suite essence summit etc 2 good understanding structured finance activities products financing letter credits etc 3 proven experience project management change management business analysis roles 4 excellent communication inter personal skills work multiple stakeholders apac emea 5 ease deliver training wide audience 6 capacity work stress,Professional,JOB-2019-0104624
Data Science & AI,Information Technology Senior Research Scientist,"Algorithms, Artificial Intelligence, Biochemistry, Biotechnology, Chemistry, Computer Science, Data Analysis, Data Mining, Distributed Systems, Drug Discovery, Lifesciences, Machine Learning, Matlab, Molecular Biology, Python, R&D, Research, Science, Simulations, Software Engineering",,"$6,000to$10,000Monthly","THE CRIMSON, 31 SCIENCE PARK ROAD 117611",,10 years  exp,key accountabilities accountable data analytics ml ai part product role collaborate product manager presales users analyse requirements lead analysis design development maintenance ai ml models algorithms modules used within product design develop maintain data processing ingestion routines required ai ml engine analyze source data data flows working structured unstructured data collect requirement assist product manager architect solution architecture assist gap analysis customers system integration testing user acceptance testing implementation projects ai ml used collaborate creation enhancement data platform solutions data marts facilitate decision making assist explore new technologies alternatives new models etc needed guide mentor others team members use ai machine learning requirementsminimum qualification shall either bachelor degree computer science mis computer engineering similar experience required looking candidates strong team players great attitude passion succeed today world technological disruption likely someone results focused creative problem solver customer centric good communicator shall 2 3 years relevant working experience overall 5 years experience specialization python programming r data analytics data processing ingestion techniques aws tools related technologies 1 2 years experience machine learning artificial intelligence techniques tools neural networks regression classification clustering would advantage familiarity data analytics applications data modeling demonstrated passion analytics ai ml ability explore keep updated current trends strong aptitude learning new technologies analytics techniques good communication skills self motivated high degree intellectual curiosity positive attitude highly self motivated able work independently well team environment willingness whatever takes get job done preferred experience strong programming skills python used aws cloud computing 1 2 years experience machine learning artificial intelligence techniques tools experience developing deploying web based j2ee applications knowledge ai models like random forest regression cluster analysis,"Executive, Junior Executive",JOB-2019-0110036
